company,label,address,lat,lng
https://collection.rcgs.jp/resource/AGENT0000153,ORiGO GAMES LLC. 2010-,Singapore,1.352083,103.819836
https://collection.rcgs.jp/resource/AGENT0000166,Ratloop Asia. 2008-,Singapore,1.352083,103.819836
https://collection.rcgs.jp/resource/AGENT0003140,Electronic Arts Asia Pacific Pte Ltd.. 2008-,Singapore,1.352083,103.819836
https://collection.rcgs.jp/resource/AGENT0004239,Rockstar India,インド共和国バンガロール,12.971599,77.594563
https://collection.rcgs.jp/resource/AGENT0004343,AsiaSoft. 2001-,"Bangkok, Thailand",13.756331,100.501765
https://collection.rcgs.jp/resource/AGENT0004340,"MediaQuest Holdings, Inc.. 1998-","Makati, Philippines",14.554729,121.024445
https://collection.rcgs.jp/resource/AGENT0000095,Eastasiasoft. 2007-,Hong Kong,22.319304,114.169361
https://collection.rcgs.jp/resource/AGENT0002964,Enlight Software. 1993-,Hongkong,22.319304,114.169361
https://collection.rcgs.jp/resource/AGENT0004308,Playmates Toys. 1979-,"Hong Kong, China",22.319304,114.169361
https://collection.rcgs.jp/resource/AGENT0004350,天下出版. 1989-,Hong Kong,22.319304,114.169361
https://collection.rcgs.jp/resource/AGENT0004148,Softstar . 1988-,"New Taipei, Taiwan",25.016983,121.462787
https://collection.rcgs.jp/resource/AGENT0000206,XPEC Entertainment Inc.. 2000-,台湾台北市,25.032964,121.565427
https://collection.rcgs.jp/resource/AGENT0004351,大然文化. 1992-,臺北市大同區重慶北路2段48號12樓之1,25.055475,121.513881
https://collection.rcgs.jp/resource/AGENT0004330,東立出版社. 1977-,台湾台北市大同区承徳路二段,25.058057,121.518167
https://collection.rcgs.jp/resource/AGENT0004305,Centuri. 1979-1985,"Hialeah, Florida",25.857596,-80.278106
https://collection.rcgs.jp/resource/AGENT0003904,空想科学,鹿児島県奄美市名瀬末広町１８番１３号,28.377135,129.495072
https://collection.rcgs.jp/resource/AGENT0004058,n-Space. 1994-2016,アメリカ合衆国 フロリダ州 オーランド,28.538336,-81.379237
https://collection.rcgs.jp/resource/AGENT0003125,NewTek Inc.. 1986-,"San Antonio, Texas, United States",29.424122,-98.493628
